0,1
Andreas Pereira,https://www.premierleague.com/players/10476/Andreas-Pereira/stats?co=1&se=-1
Vincent Angelini,https://www.premierleague.com/players/121739/Vincent-Angelini/stats?co=1&se=-1
Angeliño,https://www.premierleague.com/players/10467/Angeli%C3%B1o/stats?co=1&se=-1
Faustino Anjorin,https://www.premierleague.com/players/24708/Faustino-Anjorin/stats?co=1&se=-1
Michail Antonio,https://www.premierleague.com/players/9595/Michail-Antonio/stats?co=1&se=-1
Keenan Appiah-Forson,https://www.premierleague.com/players/51631/Keenan-Appiah-Forson/stats?co=1&se=-1
Cameron Archer,https://www.premierleague.com/players/25281/Cameron-Archer/stats?co=1&se=-1
Alphonse Areola,https://www.premierleague.com/players/5748/Alphonse-Areola/stats?co=1&se=-1
Kepa Arrizabalaga,https://www.premierleague.com/players/11373/Kepa-Arrizabalaga/stats?co=1&se=-1
Harrison Ashby,https://www.premierleague.com/players/31883/Harrison-Ashby/stats?co=1&se=-1
Yaser Asprilla,https://www.premierleague.com/players/123450/Yaser-Asprilla/stats?co=1&se=-1
Ryan Astley,https://www.premierleague.com/players/23750/Ryan-Astley/stats?co=1&se=-1
Christian Atsu,https://www.premierleague.com/players/4859/Christian-Atsu/stats?co=1&se=-1
Pierre-Emerick Aubameyang,https://www.premierleague.com/players/5110/Pierre-Emerick-Aubameyang/stats?co=1&se=-1
Serge Aurier,https://www.premierleague.com/players/11293/Serge-Aurier/stats?co=1&se=-1
Brandon Austin,https://www.premierleague.com/players/15114/Brandon-Austin/stats?co=1&se=-1
Zach Awe,https://www.premierleague.com/players/67217/Zach-Awe/stats?co=1&se=-1
Taiwo Awoniyi,https://www.premierleague.com/players/15340/Taiwo-Awoniyi/stats?co=1&se=-1
Jordan Ayew,https://www.premierleague.com/players/5595/Jordan-Ayew/stats?co=1&se=-1
Luke Ayling,https://www.premierleague.com/players/3314/Luke-Ayling/stats?co=1&se=-1
Miguel Azeez,https://www.premierleague.com/players/26975/Miguel-Azeez/stats?co=1&se=-1
César Azpilicueta,https://www.premierleague.com/players/4496/C%C3%A9sar-Azpilicueta/stats?co=1&se=-1
Kwadwo Baah,https://www.premierleague.com/players/69816/Kwadwo-Baah/stats?co=1&se=-1
Daniel Bachmann,https://www.premierleague.com/players/9762/Daniel-Bachmann/stats?co=1&se=-1
Leon Bailey,https://www.premierleague.com/players/20489/Leon-Bailey/stats?co=1&se=-1
Eric Bailly,https://www.premierleague.com/players/12937/Eric-Bailly/stats?co=1&se=-1
Tiemoué Bakayoko,https://www.premierleague.com/players/11260/Tiemou%C3%A9-Bakayoko/stats?co=1&se=-1
Lewis Baker,https://www.premierleague.com/players/4749/Lewis-Baker/stats?co=1&se=-1
James Balagizi,https://www.premierleague.com/players/66607/James-Balagizi/stats?co=1&se=-1
Fabián Balbuena,https://www.premierleague.com/players/32435/Fabi%C3%A1n-Balbuena/stats?co=1&se=-1
Ellery Balcombe,https://www.premierleague.com/players/21317/Ellery-Balcombe/stats?co=1&se=-1
Gareth Bale,https://www.premierleague.com/players/3513/Gareth-Bale/stats?co=1&se=-1
Folarin Balogun,https://www.premierleague.com/players/19871/Folarin-Balogun/stats?co=1&se=-1
Tudor Baluta,https://www.premierleague.com/players/63655/Tudor-Baluta/stats?co=1&se=-1
Patrick Bamford,https://www.premierleague.com/players/4291/Patrick-Bamford/stats?co=1&se=-1
Beni Baningime,https://www.premierleague.com/players/14623/Beni-Baningime/stats?co=1&se=-1
Scott Banks,https://www.premierleague.com/players/74776/Scott-Banks/stats?co=1&se=-1
Shandon Baptiste,https://www.premierleague.com/players/24773/Shandon-Baptiste/stats?co=1&se=-1
Daniel Barden,https://www.premierleague.com/players/14426/Daniel-Barden/stats?co=1&se=-1
Phil Bardsley,https://www.premierleague.com/players/2517/Phil-Bardsley/stats?co=1&se=-1
Ross Barkley,https://www.premierleague.com/players/4115/Ross-Barkley/stats?co=1&se=-1
Ashley Barnes,https://www.premierleague.com/players/8246/Ashley-Barnes/stats?co=1&se=-1
Mason Barrett,https://www.premierleague.com/players/15185/Mason-Barrett/stats?co=1&se=-1
Louie Barry,https://www.premierleague.com/players/52960/Louie-Barry/stats?co=1&se=-1
Lewis Bate,https://www.premierleague.com/players/49501/Lewis-Bate/stats?co=1&se=-1
Michy Batshuayi,https://www.premierleague.com/players/7450/Michy-Batshuayi/stats?co=1&se=-1
Nathan Baxter,https://www.premierleague.com/players/14568/Nathan-Baxter/stats?co=1&se=-1
Mads Bech Sørensen,https://www.premierleague.com/players/25540/Mads-Bech-S%C3%B8rensen/stats?co=1&se=-1
Owen Beck,https://www.premierleague.com/players/66565/Owen-Beck/stats?co=1&se=-1
Jan Bednarek,https://www.premierleague.com/players/19589/Jan-Bednarek/stats?co=1&se=-1
Asmir Begovic,https://www.premierleague.com/players/2537/Asmir-Begovic/stats?co=1&se=-1
Héctor Bellerín,https://www.premierleague.com/players/4474/H%C3%A9ctor-Beller%C3%ADn/stats?co=1&se=-1
Filip Benkovic,https://www.premierleague.com/players/16671/Filip-Benkovic/stats?co=1&se=-1
J'Neil Bennett,https://www.premierleague.com/players/31662/J'Neil-Bennett/stats?co=1&se=-1
Saïd Benrahma,https://www.premierleague.com/players/20517/Sa%C3%AFd-Benrahma/stats?co=1&se=-1
Josh Benson,https://www.premierleague.com/players/14441/Josh-Benson/stats?co=1&se=-1
Rodrigo Bentancur,https://www.premierleague.com/players/22802/Rodrigo-Bentancur/stats?co=1&se=-1
Christian Benteke,https://www.premierleague.com/players/4492/Christian-Benteke/stats?co=1&se=-1
Gaetano Berardi,https://www.premierleague.com/players/10761/Gaetano-Berardi/stats?co=1&se=-1
Lucas Bergström,https://www.premierleague.com/players/65641/Lucas-Bergstr%C3%B6m/stats?co=1&se=-1
Steven Bergwijn,https://www.premierleague.com/players/12703/Steven-Bergwijn/stats?co=1&se=-1
Adrián Bernabé,https://www.premierleague.com/players/50975/Adri%C3%A1n-Bernab%C3%A9/stats?co=1&se=-1
Bernard,https://www.premierleague.com/players/5907/Bernard/stats?co=1&se=-1
Bernardo,https://www.premierleague.com/players/23591/Bernardo/stats?co=1&se=-1
Bernardo Silva,https://www.premierleague.com/players/5067/Bernardo-Silva/stats?co=1&se=-1
Ryan Bertrand,https://www.premierleague.com/players/2886/Ryan-Bertrand/stats?co=1&se=-1
Muhamed Besic,https://www.premierleague.com/players/10451/Muhamed-Besic/stats?co=1&se=-1
Marcus Bettinelli,https://www.premierleague.com/players/4511/Marcus-Bettinelli/stats?co=1&se=-1
Mads Bidstrup,https://www.premierleague.com/players/66647/Mads-Bidstrup/stats?co=1&se=-1
Mika Biereth,https://www.premierleague.com/players/33175/Mika-Biereth/stats?co=1&se=-1
Nathan Bishop,https://www.premierleague.com/players/21881/Nathan-Bishop/stats?co=1&se=-1
Yves Bissouma,https://www.premierleague.com/players/50245/Yves-Bissouma/stats?co=1&se=-1
Harvey Blair,https://www.premierleague.com/players/112629/Harvey-Blair/stats?co=1&se=-1
Oscar Bobb,https://www.premierleague.com/players/66657/Oscar-Bobb/stats?co=1&se=-1
Lamare Bogarde,https://www.premierleague.com/players/107846/Lamare-Bogarde/stats?co=1&se=-1
Mateusz Bogusz,https://www.premierleague.com/players/64271/Mateusz-Bogusz/stats?co=1&se=-1
Bendeguz Bolla,https://www.premierleague.com/players/52175/Bendeguz-Bolla/stats?co=1&se=-1
Luke Bolton,https://www.premierleague.com/players/14793/Luke-Bolton/stats?co=1&se=-1
Willy Boly,https://www.premierleague.com/players/16204/Willy-Boly/stats?co=1&se=-1
Jamie Bowden,https://www.premierleague.com/players/23951/Jamie-Bowden/stats?co=1&se=-1
Jarrod Bowen,https://www.premierleague.com/players/8868/Jarrod-Bowen/stats?co=1&se=-1
Conor Bradley,https://www.premierleague.com/players/68582/Conor-Bradley/stats?co=1&se=-1
Robbie Brady,https://www.premierleague.com/players/4158/Robbie-Brady/stats?co=1&se=-1
Jarrad Branthwaite,https://www.premierleague.com/players/66318/Jarrad-Branthwaite/stats?co=1&se=-1
Sammy Braybrooke,https://www.premierleague.com/players/109775/Sammy-Braybrooke/stats?co=1&se=-1
Mungo Bridge,https://www.premierleague.com/players/19894/Mungo-Bridge/stats?co=1&se=-1
Nathan Broadhead,https://www.premierleague.com/players/14636/Nathan-Broadhead/stats?co=1&se=-1
Armando Broja,https://www.premierleague.com/players/31442/Armando-Broja/stats?co=1&se=-1
Josh Brownhill,https://www.premierleague.com/players/9457/Josh-Brownhill/stats?co=1&se=-1
Bruno Fernandes,https://www.premierleague.com/players/23396/Bruno-Fernandes/stats?co=1&se=-1
Bruno Guimarães,https://www.premierleague.com/players/74761/Bruno-Guimar%C3%A3es/stats?co=1&se=-1
Bruno Jordão,https://www.premierleague.com/players/25191/Bruno-Jord%C3%A3o/stats?co=1&se=-1
Lewis Brunt,https://www.premierleague.com/players/19890/Lewis-Brunt/stats?co=1&se=-1
Emiliano Buendía,https://www.premierleague.com/players/26408/Emiliano-Buend%C3%ADa/stats?co=1&se=-1
Hugo Bueno,https://www.premierleague.com/players/66692/Hugo-Bueno/stats?co=1&se=-1
Dan Burn,https://www.premierleague.com/players/8707/Dan-Burn/stats?co=1&se=-1
Finley Burns,https://www.premierleague.com/players/49267/Finley-Burns/stats?co=1&se=-1
Jack Butland,https://www.premierleague.com/players/4634/Jack-Butland/stats?co=1&se=-1
Sam Byram,https://www.premierleague.com/players/8945/Sam-Byram/stats?co=1&se=-1
Willy Caballero,https://www.premierleague.com/players/10466/Willy-Caballero/stats?co=1&se=-1
Gary Cahill,https://www.premierleague.com/players/2620/Gary-Cahill/stats?co=1&se=-1
Moisés Caicedo,https://www.premierleague.com/players/112203/Mois%C3%A9s-Caicedo/stats?co=1&se=-1
Jake Cain,https://www.premierleague.com/players/32279/Jake-Cain/stats?co=1&se=-1
Caleb Chukwuemeka,https://www.premierleague.com/players/74817/Caleb-Chukwuemeka/stats?co=1&se=-1
Callum Rowe,https://www.premierleague.com/players/14482/Callum-Rowe/stats?co=1&se=-1
Dominic Calvert-Lewin,https://www.premierleague.com/players/9576/Dominic-Calvert-Lewin/stats?co=1&se=-1
Leonardo Campana,https://www.premierleague.com/players/74562/Leonardo-Campana/stats?co=1&se=-1
Chem Campbell,https://www.premierleague.com/players/51648/Chem-Campbell/stats?co=1&se=-1
Sergi Canós,https://www.premierleague.com/players/13225/Sergi-Can%C3%B3s/stats?co=1&se=-1
Todd Cantwell,https://www.premierleague.com/players/14944/Todd-Cantwell/stats?co=1&se=-1
Elia Caprile,https://www.premierleague.com/players/74591/Elia-Caprile/stats?co=1&se=-1
Carlos Sánchez,https://www.premierleague.com/players/10430/Carlos-S%C3%A1nchez/stats?co=1&se=-1
Carlos Vinícius,https://www.premierleague.com/players/50501/Carlos-Vin%C3%ADcius/stats?co=1&se=-1
Andy Carroll,https://www.premierleague.com/players/3175/Andy-Carroll/stats?co=1&se=-1
Scott Carson,https://www.premierleague.com/players/2250/Scott-Carson/stats?co=1&se=-1
Cameron Carter-Vickers,https://www.premierleague.com/players/13814/Cameron-Carter-Vickers/stats?co=1&se=-1
Oliver Casey,https://www.premierleague.com/players/53269/Oliver-Casey/stats?co=1&se=-1
Matthew Cash,https://www.premierleague.com/players/13344/Matthew-Cash/stats?co=1&se=-1
Timothy Castagne,https://www.premierleague.com/players/6712/Timothy-Castagne/stats?co=1&se=-1
Craig Cathcart,https://www.premierleague.com/players/3160/Craig-Cathcart/stats?co=1&se=-1
Edinson Cavani,https://www.premierleague.com/players/5771/Edinson-Cavani/stats?co=1&se=-1
Dani Ceballos,https://www.premierleague.com/players/7163/Dani-Ceballos/stats?co=1&se=-1
Cédric Soares,https://www.premierleague.com/players/11347/C%C3%A9dric-Soares/stats?co=1&se=-1
Kallum Cesay,https://www.premierleague.com/players/51616/Kallum-Cesay/stats?co=1&se=-1
Trevoh Chalobah,https://www.premierleague.com/players/14575/Trevoh-Chalobah/stats?co=1&se=-1
Calum Chambers,https://www.premierleague.com/players/4620/Calum-Chambers/stats?co=1&se=-1
Shea Charles,https://www.premierleague.com/players/75201/Shea-Charles/stats?co=1&se=-1
Kgaogelo Chauke,https://www.premierleague.com/players/65849/Kgaogelo-Chauke/stats?co=1&se=-1
Daniel Chesters,https://www.premierleague.com/players/30534/Daniel-Chesters/stats?co=1&se=-1
Ben Chilwell,https://www.premierleague.com/players/13491/Ben-Chilwell/stats?co=1&se=-1
Chiquinho,https://www.premierleague.com/players/122388/Chiquinho/stats?co=1&se=-1
Hamza Choudhury,https://www.premierleague.com/players/13248/Hamza-Choudhury/stats?co=1&se=-1
Benjamin Chrisene,https://www.premierleague.com/players/69747/Benjamin-Chrisene/stats?co=1&se=-1
Andreas Christensen,https://www.premierleague.com/players/4495/Andreas-Christensen/stats?co=1&se=-1
Christian Marques,https://www.premierleague.com/players/64522/Christian-Marques/stats?co=1&se=-1
Carney Chukwuemeka,https://www.premierleague.com/players/64140/Carney-Chukwuemeka/stats?co=1&se=-1
Dennis Cirkin,https://www.premierleague.com/players/51609/Dennis-Cirkin/stats?co=1&se=-1
CJ Egan-Riley,https://www.premierleague.com/players/51690/CJ-Egan-Riley/stats?co=1&se=-1
Ciaran Clark,https://www.premierleague.com/players/3562/Ciaran-Clark/stats?co=1&se=-1
Harry Clarke,https://www.premierleague.com/players/19877/Harry-Clarke/stats?co=1&se=-1
Jake Clarke-Salter,https://www.premierleague.com/players/11146/Jake-Clarke-Salter/stats?co=1&se=-1
Leighton Clarkson,https://www.premierleague.com/players/33335/Leighton-Clarkson/stats?co=1&se=-1
Tom Cleverley,https://www.premierleague.com/players/3448/Tom-Cleverley/stats?co=1&se=-1
Nathaniel Clyne,https://www.premierleague.com/players/4604/Nathaniel-Clyne/stats?co=1&se=-1
Conor Coady,https://www.premierleague.com/players/4136/Conor-Coady/stats?co=1&se=-1
Alex Cochrane,https://www.premierleague.com/players/14559/Alex-Cochrane/stats?co=1&se=-1
Séamus Coleman,https://www.premierleague.com/players/3600/S%C3%A9amus-Coleman/stats?co=1&se=-1
Nathan Collins,https://www.premierleague.com/players/24659/Nathan-Collins/stats?co=1&se=-1
Aaron Connolly,https://www.premierleague.com/players/21653/Aaron-Connolly/stats?co=1&se=-1
Kamil Conteh,https://www.premierleague.com/players/69507/Kamil-Conteh/stats?co=1&se=-1
Liam Cooper,https://www.premierleague.com/players/3622/Liam-Cooper/stats?co=1&se=-1
Theo Corbeanu,https://www.premierleague.com/players/53182/Theo-Corbeanu/stats?co=1&se=-1
Jack Cork,https://www.premierleague.com/players/2889/Jack-Cork/stats?co=1&se=-1
Maxwel Cornet,https://www.premierleague.com/players/16758/Maxwel-Cornet/stats?co=1&se=-1
